X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.0392353439155,38.9246574651176,412,Ward 1,"1700 Columbia Road NW, Washington, District of Columbia",Ontario 17,Completed 2015 to Date,DHCD,9,38.92449997,-77.03938069,0,0,0,9,0,,284066,396597.95,139642.35,1700 COLUMBIA ROAD NW,2020/08/31 04:00:41+00
-77.0230774235317,38.9183999962057,413,Ward 1,"2112 8th St NW, Washington, District of Columbia 20001",Atlantic Plumbing (2112 8th Street NW),Completed 2015 to Date,DHCD,29,38.91852622,-77.02307471,0,0,0,29,0,,284190,397998.89,138947.24,2112 8TH STREET NW,2020/08/31 04:00:41+00
-77.0231487116544,38.9302007018568,414,Ward 1,"3205 Georgia Avenue NW, Washington, District of Columbia",Georgia Gibson,Completed 2015 to Date,DHCD,5,38.93023,-77.0231462,0,3,0,2,0,,218154,397993.04,140257.22,3205 GEORGIA AVENUE NW,2020/08/31 04:00:41+00
-77.0414423306298,38.9216081966399,415,Ward 1,"2360 Champlain St NW, Washington, District of Columbia 20009",Eden (2360 Champlain Street NW),Completed 2015 to Date,DHCD,2,38.92153316,-77.04148266,0,1,0,1,0,,242974,396406.42,139303.94,2360 CHAMPLAIN STREET NW,2020/08/31 04:00:41+00
-77.0322341031854,38.9089791606255,417,Ward 2,"1400 14th St NW, Washington, District of Columbia 20005",Mai Place,Completed 2015 to Date,DHCD,4,38.90897171,-77.03223181,0,0,0,4,0,,240221,397204.44,137901.69,1400 14TH STREET NW,2020/08/31 04:00:41+00
-77.0147096443929,38.8761345529937,418,Ward 6,"222 M St SW, Washington, District of Columbia 20024",St. Matthews Redevelopment,Completed 2015 to Date,DHCD OP,23,38.87604341,-77.01472774,0,0,0,23,0,11-13,277791,398723.8,134255.29,222 M STREET SW,2020/08/31 04:00:41+00
-76.9937181117294,38.9305431599894,419,Ward 5,"3300 9th Street Northeast, Washington, District of Columbia 20017",Brookland Station,Completed 2015 to Date,DHCD,1,38.93054362,-76.99365805,0,1,0,0,0,,312213,400544.88,140295,3300 9TH STREET NE,2020/08/31 04:00:41+00
-77.020885714089,38.9334289850631,420,Ward 1,"3542 Warder Street Northwest, Washington, District of Columbia 20010",The Warder,Completed 2015 to Date,DHCD,1,38.93342153,-77.02088342,0,1,0,0,0,,228805,398189.34,140615.54,3542 WARDER STREET NW,2020/08/31 04:00:41+00
-77.0073565657485,38.8305700564161,421,Ward 8,"4016 South Capitol Street, SE, Washington, District of Columbia",4016 S. Capitol St SE,Completed 2015 to Date,DHCD,3,38.83056262,-77.00735428,0,2,0,1,0,,27895,399361.44,129197.23,4016 SOUTH CAPITOL STREET SE,2020/08/31 04:00:41+00
-77.0147433016284,38.9737626477895,422,Ward 4,"6918 Willow Street Northwest, Washington, District of Columbia 20012",Willow & Maple,Completed 2015 to Date,DHCD,5,38.97346501,-77.01487435,0,3,0,2,0,,311662,398722.63,145092.84,6918 WILLOW STREET NW,2020/08/31 04:00:41+00
